ISBN,Artist,Title,Author,Shelf
9780965290074,,,,A1
9780500241233,,,,A1
9780486220123,,,,A1
9781851453436,,,,A1
9780893817497,,,,A1
9780893817466,,,,A1
9780893818364,,,,A1
9780893818234,,,,A1
9780893817473,,,,A1
9780893817411,,,,A1
9780893818241,,,,A1
9780893817404,,,,A1
9780893817510,,,,A1
9780893817503,,,,A1
9780893818210,,,,A1
9780946372317,,,,A1
9780893819453,,,,A1
9780500277126,,,,A1
9781881270171,,,,A1
2851081845,,,,A1
8448244664,,,,A1
0300045484,,,,A1
0821207466,,,,A1
0912078189,,,,A1
0900406658,,,,A1
0394408527,,,,A1
0893810754,,,,A1
0394733843,,,,A1
0822700700,,,,A1
0822700697,,,,A1
0822700719,,,,A1
0822700689,,,,A1
0822700689,,,,A1
9781887694230,,,,A1
0894681400,,,,A1
0960414002,,,,A1
0943012325,,,,A1
0933286112,,,,A1
0306800586,,End of A1: 39 books,,A1
9780691074436,,Start of A2,,A2
9780135960738,,,,A2
9780893810177,,,,A2
9780879054809,,,,A2
9780300083156,,,,A2
9780821221266,,,,A2
9780941831949,,,,A2
9780679404910,,,,A2
9781556704239,,,,A2
9780893818562,,,,A2
9783888148453,,,,A2
9781597110129,,,,A2
9782862341453,,,,A2
9780394585116,,,,A2
9780821221020,,,,A2
9780760735350,,,,A2
0375505091,,,,A2
9780375505102,,,,A2
0967174406,,,,A2
0936554061,,,,A2
0201045435,,,,A2
0201116952,,,,A2
0697032175,,,,A2
3723104355,,End of A2: 24 Books,,A2
9780810940512,,Start of A3,,A3
9780970576897,,,,A3
9780679426271,,,,A3
9780817458690,,,,A3
9788854401013,,,,A3
9780807066478,,,,A3
9780817424558,,,,A3
9780395957738,,,,A3
9780810937215,,,,A3
9780970576866,,,,A3
9788881581702,,,,A3
9780893816377,,,,A3
9781854370372,,,,A3
9780811802109,,,,A3
9781597110808,,,,A3
9788869654091,,,,A3
9780374531737,,,,A3
9781880559239,,,,A3
9780810939424,,,,A3
9780821217559,,,,A3
9780316373142,,,,A3
9780375404030,,End of A3: 22 Books,,A3
9780300122893,,Start of A4,,A4
9781570717208,,,,A4
9780847835997,,,,A4
9781586855154,,,,A4
9780671638573,,,,A4
9780785814627,,,,A4
9780156005746,,,,A4
9781854371058,,,,A4
9780810910430,,,,A4
9780870707315,,,,A4
9780977659852,,,,A4
9780893819194,,,,A4
9781566080088,,,,A4
9780930741709,,,,A4
9781851491391,,,,A4
9780030765476,,,,A4
9780823014019,,,,A4
9780486281506,,,,A4
9780810960763,,End of A4: 19 Books,,A4
9780140082616,,,,B1
9780136040972,,,,B1
9780136054054,,,,B1
9781576874158,,,,B1
9780375711169,,,,B1
9781555951665,,,,B1
9780810945975,,,,B1
9781854370433,,,,B1
9780789202468,,,,B1
9780870707971,,,,B1
9780810980914,,,,B1
9780300102536,,,,B1
9781854371416,,,,B1
9780789202475,,,,B1
9780810934207,,,,B1
9780810939929,,,,B1
9780974162157,,,,B1
9780805008234,,,,B1
9780374106133,,,,B1
9780679445517,,,,B1
9781891771255,,,,B1
